material_name,material_category,manufacturer_name,gwp_value,gwp_unit,declared_unit,life_cycle_stages,epd_programme_operator,year_published,valid_until,country_of_origin,source_filename,extraction_confidence,notes
CRA Welded Pipe,Steel & Metal,Jindal SAW Limited,1968.07,kg CO2 eq/1000 kg,1000 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0012015_003.pdf,HIGH,The GWP value provided is the GWP-total for the A1-A3 stage as listed in the environmental performance table.
Seal Coat SF 150,Other,Penetron Products Private Limited,0.531133,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0012017_001.pdf,HIGH,GWP-total value used from the mandatory impact category indicators table.
TECHGRID Polymeric Coated Polyester Geogrid,Plastic & Polymer,TECHFAB India Industries Limited,5.99,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0012018_001.pdf,HIGH,GWP value extracted from GWP-total row for A1-A3 stage.
TECHSTRAP High Strength Polymeric Geosynthetics Strips,Plastic & Polymer,TECHFAB India Industries Limited,4.34,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0012053_001.pdf,HIGH,GWP-total value used from A1-A3 column.
TECHLINK High strength strip bonded Flexible Geogrid,Plastic & Polymer,TECHFAB India Industries Limited,4.59,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0012054_001.pdf,HIGH,GWP-total value used for A1-A3.
Indowud NFC Board,Plastic & Polymer,Indowud NFC Private Limited,830.0,kg CO2 eq/1000kg,1000 kg,A1-A3,EPD International AB,2024,2030,India,EPD-IES-0012055_005.pdf,HIGH,GWP value extracted from the 'GWP – total' row for A1-A3 column. The declared unit is 1000kg.
Gypserra Metal Framing,Steel & Metal,Saint-Gobain India Pvt. Ltd. - Gyproc,3.03,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0012056_001.pdf,HIGH,GWP value extracted from the 'Climate Change' row for A1-A3 in the Environmental Impacts table.
"TMT Bars - ARS 550D, ARS CRS 550D",Steel & Metal,ARS Steels and Alloy International Private Ltd,592.0,kg CO2 eq/1000kg,1000 kg,A1-A3,EPD International AB,2024,2030,India,EPD-IES-0012057_005.pdf,HIGH,GWP value is for A1-A3 modules. Declared unit is 1000kg.
ERW Hot Dip Galvanized Steel Pipe,Steel & Metal,Garg Tube Export LLP,3350.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0012935_001.pdf,HIGH,GWP value 3.35E+03 converted from 1 tonne declared unit.
Steel Plate,Steel & Metal,Namco Industries Pvt. Ltd.,2970.0,kg CO2 eq/tonne,1 Tonne,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0013554_001.pdf,HIGH,GWP value 2.97E+03 converted to 2970.0 per 1 Tonne.
TECHDRAIN- Drainage Composite,Plastic & Polymer,TECHFAB India Industries Limited,4.0,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0013756_001.pdf,HIGH,GWP value represents GWP-total for A1-A3.
TECHGEO - Nonwoven needle punched geotextile fabric,Plastic & Polymer,TECHFAB India Industries Limited,4.50,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0013757_001.pdf,HIGH,GWP-total value used from the mandatory impact category indicators table.
Steel Plate,Steel & Metal,JSW Steel Ltd,3260.0,kg CO2 eq/tonne,1 Tonne,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0013786_001.pdf,HIGH,GWP value 3.26E+03 converted from 1 Tonne unit.
Acoustic Modular Designer Control Room Interiors with Modular Metal Paneling / Partition and Designer Metal Ceiling,Steel & Metal,ONEPWS PRIVATE LIMITED,4710.0,kg CO2 eq/ton,1 ton,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0013848_002.pdf,HIGH,GWP value extracted from the table for A1-A3 as 4.71E+03 kg CO2 eq. per 1 ton.
DB DAZZLE Raised Access Flooring,Steel & Metal,DB DAZZLE MODULAR SYSTEMS,67.7,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0013866_001.pdf,HIGH,GWP value taken from GWP-total row for A1-A3.
Saltech Pavement Products,Other,Saltech Design Labs,0.259,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0014188_001.pdf,HIGH,GWP-total for A1-A3 is 2.59E-01 kgCO2 eq/kg.
Saltech Slabbing Products,Concrete & Cement,Saltech Design Labs,0.226,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0014189_001.pdf,HIGH,GWP value represents GWP-total for A1-A3 stages. The product is a composite material used as an alternative to concrete.
Conference Table,Other,Kokuyo Workplace India Limited,211.0,kg CO2 eq/piece,1 piece,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0014193_004.pdf,HIGH,GWP-total value for A1-A3 is 2.11E+02 (211.0). Declared unit is 1 piece of Conference Table.
Desking Products (Avail Bench),Other,Kokuyo Workplace India Limited,655.0,kg CO2 eq/piece,1 piece,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0014194_002.pdf,HIGH,GWP-fossil value used (6.55E+02). Representative product is Avail Bench.
Avail Height Adjustable Desk (4-person cluster),Other,Kokuyo Workplace India Limited,848.0,kg CO2 eq/piece,1 piece,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0014195_004.pdf,HIGH,GWP-total value for A1-A3 is 8.48E+02 (848.0). Declared unit is 1 piece of Avail Height Adjustable Desk (4-person cluster).
Bricks,Brick & Masonry,Jay Jalaram Brick Works,80.5,kg CO2 eq/MT,1 MT,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0014544_002.pdf,HIGH,GWP value taken from GWP-total row for A1-A3 (8.05E+01). Declared unit is 1 MT (1000 kg).
TMT bars,Steel & Metal,Peekay Rolling Mills Pvt. Ltd.,3220.0,kg CO2 eq/MT,1 MT,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0014568_003.pdf,HIGH,GWP-total value for A1-A3 is 3.22E+03 kg CO2 eq per 1 MT.
Storage Systems (Avail Steel Pedestal),Steel & Metal,Kokuyo Workplace India Limited,769.0,kg CO2 eq/m3,1 m3,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0015163_002.pdf,HIGH,GWP value represents GWP-total for A1-A3 as 7.69E+02.
No 16 Chair,Other,Kokuyo Workplace India Limited,70.8,kg CO2 eq.,1 piece,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0015164_002.pdf,HIGH,GWP-total value for A1-A3 used.
ORAÉ® 4 mm,Glass,Saint-Gobain India Private Limited,5.24,kg CO2 eq/m2,1 m2,A1-A3,The International EPD® System,2024,2029,India,EPD-IES-0015184_001.pdf,HIGH,GWP value represents Climate Change total for A1-A3 stages.
"Thermal Insulation Products - Elastomeric Nitrile Insulation Products (Nitrile Sheets, Tubes and Acoustics)",Insulation,ALP Aeroflex India Pvt LTD,4.43,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0015196_003.pdf,HIGH,GWP value taken from GWP-total row for A1-A3.
Gyproc Elite 100,Other,Saint-Gobain India Pvt. Ltd,0.0563,kg CO2 eq/kg,1 kg,A1-A3,The International EPD System,2024,2029,India,EPD-IES-0015233_003.pdf,HIGH,GWP value for A1-A3 is 5.63E-02 kg CO2 eq. per 1 kg declared unit.
Gyproc Elite -MR (Moisture Resistant) Plaster,Other,Saint-Gobain India Pvt. Ltd,0.126,kg CO2 eq/kg,1 kg,A1-A3,The International EPD System,2024,2029,India,EPD-IES-0015234_003.pdf,HIGH,GWP value for A1-A3 is 1.26E-01 kg CO2 eq/kg as per the Environmental Impacts table.
JSP’s Steel Plate (100% Recycled Scrap),Steel & Metal,Jindal Steel & Power,450.0,kg CO2 eq/metric ton,1 metric ton,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0015506_005.pdf,HIGH,GWP value extracted from GWP-total row for A1-A3. 4.50E+02 equals 450.0.
Unitile Steel Cementitious Panel (USF),Steel & Metal,United Office Systems Pvt. Ltd. (Unitile India),54.4,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0015660_001.pdf,HIGH,GWP-total value for A1-A3 used (5.44E+01). Declared unit is 1 m2.
U-Flex Structural Ceiling & Partition Systems,Aluminium,United Office Systems Pvt. Ltd. (Unitile India),25.9,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0015661_001.pdf,HIGH,GWP-total value for A1-A3 is 2.59E+01 kg CO2 eq/kg.
Unitile Calcium Sulphate Panel (UCS),Other,United Office Systems Pvt Ltd (Unitile India),41.1,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0015662_001.pdf,HIGH,GWP-total value for A1-A3 used as primary GWP indicator.
Steel Wire Ropes,Steel & Metal,Usha Martin Limited,3750.0,kg CO2 eq/1 metric tonne,1 metric tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0015922_001.pdf,HIGH,GWP value represents GWP-total for A1-A3. The value 3.75E+03 was converted to 3750.0.
"Ductile and grey iron manhole cover, grate and frame",Steel & Metal,R.B.Agarwalla & Co.,1.66,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0016083_002.pdf,HIGH,GWP value represents GWP-total for A1-A3.
"XLPE Thermal Insulation Products (Sheets, Tubes and Acoustics)",Insulation,ALP Aeroflex India Pvt LTD,6.65,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0016326_001.pdf,HIGH,GWP value taken from GWP-total row for A1-A3.
Keraflex Easy S1 Grey Zero,Concrete & Cement,Mapei Construction Product India Ltd.,0.493,kg CO2 eq/kg,1 kg,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0016396_001.pdf,HIGH,GWP value converted from 4.93E-01 kg CO2 eq.
Keraflex Easy S1 White Zero,Concrete & Cement,Mapei Construction Product India Ltd.,0.559,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0016397_002.pdf,HIGH,GWP value converted from 5.59E-01
High Pressure Laminate,Plastic & Polymer,Merino Industries Limited,0.522,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0016401_002.pdf,HIGH,The GWP value for A1-A3 is 5.22E-01 kg CO2 eq per 1 m2 of 1 mm HPL.
Compact Laminate,Plastic & Polymer,Merino Industries Limited,3.51,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0016404_002.pdf,HIGH,Declared unit is 1 m2 of Compact of 6 mm thickness.
ER 1711,Other,SEPR India,3110.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2024,2031,India,EPD-IES-0016475_003.pdf,HIGH,"GWP value extracted from the A1-A3 column for Climate change potential (GWP) - total. 3,11E+03 converted to 3110.0."
Steel Plates,Steel & Metal,Jindal Steel & Power,1650.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0016478_001.pdf,HIGH,GWP value 1.65E+03 converted from 1 tonne to 1000 kg basis.
"Average ductile and grey iron manhole cover, channel gratings and pipe fittings",Steel & Metal,Global Castings Pvt. Ltd.,2.99,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0016507_003.pdf,HIGH,GWP-total value for A1-A3 used.
Hot Rolled Coils,Steel & Metal,Jindal Steel Odisha Ltd.,1530.0,kg CO2 eq/t,1 t,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0016558_001.pdf,HIGH,GWP value 1.53E+03 converted to 1530.0 per 1 tonne.
Bi-55-(520-550 Wp) Glass to Glass Bifacial Module,Other,Waaree Energies Limited,0.447,kg CO2 eq/Wp,1 Wp,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0016931_002.pdf,HIGH,The GWP value is for A1-A3 and is reported as 4.47E-01 kg CO2 eq per 1 Wp.
BiN-08-(565-600 Wp) Glass to Glass Bifacial TOPCon Module,Other,Waaree Energies Limited,0.372,kg CO2 eq/Wp,1 Wp,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0016932_002.pdf,HIGH,The GWP value is for A1-A3 per 1 Wp. The declared unit is 1 Wp.
Hicem Fiber Cement board,Concrete & Cement,Ramco Industries Limited,7.06,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0017242_001.pdf,HIGH,GWP value represents GWP-total for A1-A3 as per the results table.
Hilux Calcium Silicate Board (CSB),Other,Ramco Industries Limited,5.23,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0017243_001.pdf,HIGH,GWP-total value for A1-A3 is 5.23E+00 kg CO2 eq/m2.
Hiden- High Density Fiber Cement Board,Concrete & Cement,Ramco Industries Limited,11.5,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0017244_001.pdf,HIGH,GWP value represents GWP-fossil for A1-A3. Total GWP (fossil + biogenic + luluc) for A1-A3 is 8.90E+00.
HiluxLite- Ultra Light Ceiling Tile,Other,Ramco Industries Limited,7.39,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0017245_001.pdf,HIGH,GWP value represents GWP-total for A1-A3.
Greencor- Non-Asbestos Corrugated sheet,Other,Ramco Industries Limited,7.06,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0017246_001.pdf,HIGH,GWP-total value for A1-A3 used as the primary GWP indicator.
Restora Ultra,Aluminium,Vedanta Aluminium,511.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0017309_005.pdf,HIGH,GWP-total value for A1-A3 is 5.11E+02 kg CO2 eq per 1 tonne.
Restora,Aluminium,Vedanta Aluminium,5840.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0017334_005.pdf,HIGH,GWP value extracted from the A1-A3 column for GWP-total. 5.84E+03 equals 5840.0.
RB Slabs,Insulation,"Saint Gobain India Pvt Ltd, Insulation Division",3.42,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0017630_001.pdf,HIGH,GWP value represents Climate Change (fossil) for A1-A3. Declared unit is 1 m2 of stonewool with thermal resistance of 1.42 K.m2.W-1.
RB Slab 160 kg/m3,Insulation,"Saint Gobain India Pvt Ltd, Insulation Division",11.1,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0017631_001.pdf,HIGH,GWP value 1.11E+01 converted to 11.1. Declared unit is 1 m2 of mineral wool with thermal resistance of 1.38 m2.K.W-1 for a thickness of 50 mm.
Rockinsul RB Slab,Insulation,"Saint Gobain India Pvt Ltd, Insulation Division",4.30,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0017633_003.pdf,HIGH,The declared unit is 1 m2 of mineral wool with a thickness of 50 mm. GWP value refers to Climate Change (total) for A1-A3.
Height Adjustable Table (HAT),Other,Featherlite Office Systems Private Limited,92.0,kg CO2 eq/unit,1 unit,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0017772_002.pdf,HIGH,GWP-total value for A1-A3 is 9.20E+01 kg CO2 eq. The declared unit is one height-adjustable table weighing 72.44 kg.
Tapered Roller Bearing 32309XA,Steel & Metal,National Engineering Industries Ltd,8.76,kg CO2 eq.,1 unit,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0017973_001.pdf,HIGH,The GWP value represents the total for A1-A3 (Upstream + Core). The declared unit is one bearing (weight 1.357 kg).
Tapered Roller Bearing 33022,Steel & Metal,National Engineering Industries Ltd.,15.35,kg CO2 eq/product,1 unit,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0017974_001.pdf,HIGH,GWP value calculated as sum of Upstream (1.08E+01) and Core (4.55E+00) stages for A1-A3.
Cylindrical Roller Bearing NUP310N,Steel & Metal,National Engineering Industries Ltd,9.17,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018019_001.pdf,HIGH,The GWP value represents the total (Upstream + Core + Downstream) as per the results table. The declared unit is 1 kg based on the product composition total.
Deep Groove Ball Bearing 6010,Steel & Metal,National Engineering Industries Ltd,2.67,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018119_001.pdf,HIGH,"The GWP value 2.67 represents the Upstream (1.82) + Core (0.856) stages, which constitute A1-A3."
Unitized Taper Roller Bearing N1764XAT2XLLX,Steel & Metal,National Engineering Industries Ltd,53.6,kg CO2 eq.,1 unit,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018138_001.pdf,HIGH,The GWP value is the sum of Upstream (37.2) and Core (16.4) stages as per the A1-A3 requirement.
Double Row Angular Contact Ball Bearing AU0754-2LXL,Steel & Metal,National Engineering Industries Ltd,2.73,kg CO2 eq/unit,1 unit,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018154_001.pdf,HIGH,GWP value calculated as sum of Upstream (2.16E+00) and Core (5.73E-01) stages for A1-A3.
Cylindrical Roller Bearing TS2 NU2236,Steel & Metal,National Engineering Industries Ltd,487.0,kg CO2 eq/product,1 product,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018184_001.pdf,HIGH,"The GWP value is the sum of Upstream (1.63E+02), Core (3.22E+02), and Downstream (7.28E-01) fossil GWP, totaling 487.0 kg CO2 eq per product."
Cartridge Taper Roller Bearing 6X11 Class E,Steel & Metal,National Engineering Industries Ltd,154.3,kg CO2 eq/unit,1 unit,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018239_001.pdf,HIGH,"The GWP value for A1-A3 is calculated as the sum of Upstream (113) and Core (41.3) stages, totaling 154.3 kg CO2 eq per unit."
Ductile Iron Pipe (DN 125),Steel & Metal,Jindal SAW Limited,25.8,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018395_001.pdf,HIGH,GWP value taken from GWP-total row for A1-A3.
Ductile Iron Pipe DN 150,Steel & Metal,Jindal SAW Limited,26.1,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018396_001.pdf,HIGH,GWP value represents GWP-total for A1-A3 as per the environmental performance table.
Ductile Iron Pipe (DN 200),Steel & Metal,Jindal SAW Limited,35.6,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018397_001.pdf,HIGH,GWP-total value for A1-A3 is 3.56E+01 kg CO2 eq per 1m.
Ductile Iron Pipe (DN 250),Steel & Metal,Jindal SAW Limited,101.0,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018398_001.pdf,HIGH,GWP value 1.01E+02 converted to 101.0. Declared unit is 1m of pipe.
Ductile Iron Pipe (DN300),Steel & Metal,Jindal SAW Limited,136.0,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018399_001.pdf,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3. The value 1.36E+02 corresponds to 136.0.
Ductile Iron Pipe (DN 350),Steel & Metal,Jindal SAW Limited,161.0,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018400_001.pdf,HIGH,GWP value extracted from the 'Potential environmental impact' table for A1-A3 (1.61E+02).
Ductile Iron Pipe (DN 400),Steel & Metal,Jindal SAW Limited,190.0,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018401_001.pdf,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3. The declared unit is 1m of pipe.
Ductile Iron Pipe (DN 450),Steel & Metal,Jindal SAW Limited,225.0,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018402_001.pdf,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3 column (2.25E+02).
Ductile Iron Pipe (DN 500),Steel & Metal,Jindal SAW Limited,269.0,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018403_001.pdf,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3 (2.69E+02).
Ductile Iron Pipe DN 600,Steel & Metal,Jindal SAW Limited,373.0,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018404_001.pdf,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3. The value 3.73E+02 corresponds to 373.0.
Ductile Iron Pipe (DN 700),Steel & Metal,Jindal SAW Limited,445.0,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018405_001.pdf,HIGH,GWP value extracted from the 'Potential environmental impact' table for A1-A3 (4.45E+02).
Ductile Iron Pipe (DN 750),Steel & Metal,Jindal SAW Limited,521.0,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018406_001.pdf,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3 (5.21E+02).
Ductile Iron Pipe DN 800,Steel & Metal,Jindal SAW Limited,556.0,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018407_001.pdf,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3. The value 5.56E+02 is equivalent to 556.0.
Ductile Iron Pipe (DN 900),Steel & Metal,Jindal SAW Limited,690.0,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018408_001.pdf,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3 (6.90E+02).
Ductile Iron Pipe DN 1000,Steel & Metal,Jindal SAW Limited,839.0,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018409_001.pdf,HIGH,GWP value extracted from GWP-total row for A1-A3 column (8.39E+02).
Ductile Iron Pipe (DN 1100),Steel & Metal,Jindal SAW Limited,1010.0,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018410_001.pdf,HIGH,GWP value 1.01E+03 converted to 1010.0. Declared unit is 1m of pipe.
Ductile Iron Pipe (DN 1200),Steel & Metal,Jindal SAW Limited,1180.0,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018411_001.pdf,HIGH,GWP value 1.18E+03 converted to 1180.0. Declared unit is 1m of pipe.
DN600 Ductile Iron Pipe,Steel & Metal,Jindal SAW Limited,1230.0,kg CO2 eq/ton,1 ton,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0018412_001.pdf,HIGH,GWP-total value for A1-A3 is 1.23E+03 kg CO2 eq per 1 ton.
SGG Planilaque on Planilux 4mm,Glass,Saint-Gobain India Pvt. Ltd,13.5,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0019897_002.pdf,HIGH,GWP value extracted from the Climate Change row for A1-A3 column (1.35E+01).
SGG Planilaque on Planilux 5mm,Glass,Saint-Gobain India Pvt. Ltd,17.0,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0019899_002.pdf,HIGH,"GWP value extracted from the Climate Change (total) row for A1-A3, 1.70E+01 = 17.0."
SGG Planilaque on Planilux 6mm,Glass,Saint-Gobain India Pvt. Ltd,20.2,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0019900_002.pdf,HIGH,GWP value 2.02E+01 converted to 20.2. Declared unit is 1 m2.
SGG MIRA 5mm,Glass,Saint-Gobain India Pvt. Ltd,19.6,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0019902_002.pdf,HIGH,GWP value extracted from the Climate Change [kg CO2 eq.] row for A1-A3 column (1.96E+01).
30 KVA 20.5/0.41 kV transformer,Other,Shirdi Sai Electricals Ltd.,30500,kg CO2 eq/transformer,1 transformer,A1-C4,EPD International AB,2025,2030,India,EPD-IES-0020031_002.pdf,HIGH,GWP value represents the total (Upstream + Core + Downstream) as per the results table.
50 KVA 1/0.41 kV transformer,Other,Shirdi Sai Electricals Ltd.,36800,kg CO2 eq,1 piece,A1-C4,EPD International AB,2025,2030,India,EPD-IES-0020032_002.pdf,HIGH,The GWP value represents the total (Upstream + Core + Downstream) as reported in the environmental performance indicators table.
50 KVA 20.5/0.41 kV transformer,Steel & Metal,Shirdi Sai Electricals Ltd.,36900.0,kg CO2 eq,1 piece,A1-C4,EPD International AB,2025,2030,India,EPD-IES-0020033_002.pdf,HIGH,The GWP value represents the total (A1-C4) as provided in the results table. The declared unit is a single piece of transformer.
100 KVA 20.5/ 0.41 kV Transformer,Other,Shirdi Sai Electricals Ltd.,60600.0,kg CO2 eq,1 piece,A1-C4,EPD International AB,2025,2030,India,EPD-IES-0020034_002.pdf,HIGH,The GWP value represents the total (Upstream + Core + Downstream) as per the results table.
200 KVA 1/0.41 kV transformer,Other,Shirdi Sai Electricals Ltd.,110000,kg CO2 eq,1 piece,A1-C4,EPD International AB,2025,2030,India,EPD-IES-0020035_002.pdf,HIGH,GWP value represents the total (Upstream + Core + Downstream) for the declared unit of one transformer over a 35-year service life.
200 KVA 20.5/ 0.41 kV Transformer,Other,Shirdi Sai Electricals Ltd.,98100.0,kg CO2 eq/unit,1 piece,A1-C4,EPD International AB,2025,2030,India,EPD-IES-0020036_003.pdf,HIGH,The GWP value represents the total (A1-C4) for the declared unit of a single transformer.
SomaniPly Plywood,Timber & Wood,Ecowood Exports Private Limited,-415.0,kg CO2 eq/m3,1 m3,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0020172_001.pdf,HIGH,GWP-total value for A1-A3 is -4.15E+02 kgCO2e per 1m3.
"Screws, nuts and accessories",Steel & Metal,GDPA Fasteners,1.71,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0020175_001.pdf,HIGH,GWP value represents the total for A1-A3 as stated in the environmental performance results table.
Sleek Partition,Aluminium,Saint-Gobain India Pvt. Ltd,26.4,kg CO2 eq/kg,1 kg,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0020327_001.pdf,HIGH,GWP value represents Climate Change - total for A1-A3 (2.64E+01)
Sleek Partition,Aluminium,Saint-Gobain India Pvt. Ltd,26.9,kg CO2 eq/kg,1 kg,A1-A3,The International EPD System,2025,2030,India,EPD-IES-0020329_001.pdf,HIGH,GWP value represents Climate Change - total for A1-A3 (2.69E+01)
"Ductile Iron Pipes of C30 Pressure Class, including Ductile Iron Fittings",Steel & Metal,Electrosteel Castings Limited,2530.0,kg CO2 eq./tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0020876_002.pdf,HIGH,GWP value 2.53E+03 converted from 1 tonne declared unit.
"Ductile Iron Pipes of C40 Pressure Class, including Ductile Iron Fittings",Steel & Metal,Electrosteel Castings Limited,2530.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0020877_002.pdf,HIGH,GWP value converted from 2.53E+03 kg CO2 eq. per 1 tonne.
"Ductile Iron Pipes of C25 Pressure Class, including Ductile Iron Fittings",Steel & Metal,Electrosteel Castings Limited,2530,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0020878_002.pdf,HIGH,GWP value 2.53E+03 converted to 2530. Declared unit is 1 tonne.
FLEXI RAISED ACCESS FLOORS,Other,AET Building Products India Private Limited,48.2,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0020985_001.pdf,HIGH,GWP-total value for A1-A3 is 4.82E+01 kg CO2 eq/m2.
