registration_number,material_name,material_category,manufacturer_name,product_category,geographical_scope,country_of_origin,gwp_a1a3,gwp_unit,declared_unit,life_cycle_stages,epd_programme_operator,year_published,valid_until,epd_url,gwp_value,extraction_confidence,notes
EPD-IES-0017309:005,Restora Ultra,Aluminium,Vedanta Aluminium,Construction products,Global,India,511.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd17309,511.0,HIGH,GWP-total value for A1-A3 is 5.11E+02 kg CO2 eq per 1 tonne.
EPD-IES-0017334:005,Restora,Aluminium,Vedanta Aluminium,Construction products,Global,India,5840.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd17334,5840.0,HIGH,GWP value extracted from the A1-A3 column for GWP-total. 5.84E+03 equals 5840.0.
EPD-IES-0026930:001,Alu-Zinc Coated Steel in Sheets & Coils,Steel & Metal,APL APOLLO Building Products Limited,Construction products,India,India,3040.0,kg CO2 eq./ton,1 ton,A1-A3,International EPD System,,,https://www.environdec.com/library/epd26930,3040.0,HIGH,GWP value 3.04E+03 converted to 3040.0. Declared unit is 1 ton.
EPD-IES-0026931:001,Pre-Painted Alu-Zinc Coated Steel in Sheets & Coils,Steel & Metal,APL APOLLO BUILDING PRODUCTS LIMITED,Construction products,India,India,3120.0,kg CO2 eq./ton,1 ton,A1-A3,International EPD System,,,https://www.environdec.com/library/epd26931,3120.0,HIGH,GWP value 3.12E+03 converted from 1 ton declared unit.
EPD-IES-0026932:001,Galvanized Steel in Sheets & Coils,Steel & Metal,APL APOLLO BUILDING PRODUCTS LIMITED,Construction products,India,India,2530.0,kg CO2 eq/ton,1 ton,A1-A3,International EPD System,,,https://www.environdec.com/library/epd26932,2530.0,HIGH,GWP value 2.53E+03 converted from 1 ton declared unit.
EPD-IES-0026933:001,Pre-Painted Galvanized Steel in Sheets & Coils,Steel & Metal,APL APOLLO BUILDING PRODUCTS LIMITED,Construction products,India,India,2670.0,kg CO2 eq./ton,1 ton,A1-A3,International EPD System,,,https://www.environdec.com/library/epd26933,2670.0,HIGH,GWP value 2.67E+03 converted to 2670.0. Declared unit is 1 ton.
EPD-IES-0026934:001,"MS Tubes, Pipes & Hollow Section",Steel & Metal,APL APOLLO BUILDING PRODUCTS LIMITED,Construction products,India,India,2440.0,kg CO2 eq/ton,1 ton,A1-A3,International EPD System,,,https://www.environdec.com/library/epd26934,2440.0,HIGH,GWP value 2.44E+03 converted from kg CO2 eq. per 1 ton declared unit.
EPD-IES-0026935:001,GP Tubes & Pipes,Steel & Metal,APL APOLLO BUILDING PRODUCTS LIMITED,Construction products,India,India,2640.0,kg CO2 eq/ton,1 ton,A1-A3,International EPD System,,,https://www.environdec.com/library/epd26935,2640.0,HIGH,GWP value 2.64E+03 converted to 2640.0. Declared unit is 1 ton.
EPD-IES-0028105:001,SGG REFLECTASOL® on PLANILUX® 4 mm,Glass,Saint-Gobain India Private Limited – Glass,Construction products,India,India,13.1,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28105,13.1,HIGH,GWP value for A1-A3 is 1.31E+01 kg CO2 eq/m2.
EPD-IES-0028104:001,SGG REFLECTASOL® on PLANILUX® 3.5 mm,Glass,Saint-Gobain India Private Limited – Glass,Construction products,India,India,11.3,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28104,11.3,HIGH,GWP value for A1-A3 is 1.13E+01 kg CO2 eq/m2. The declared unit is 1 m2 of 3.5 mm glass.
EPD-IES-0028107:001,SGG REFLECTASOL® on PLANILUX® 5 mm,Glass,Saint-Gobain India Private Limited – Glass,Construction products,India,India,17.0,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28107,17.0,HIGH,GWP value for A1-A3 is 1.70E+01 (17.0 kg CO2 eq/m2). The declared unit is 1 m2 of 5 mm glass.
EPD-IES-0028103:001,SGG REFLECTASOL® on PARSOL® 6 mm,Glass,Saint-Gobain India Private Limited – Glass,Construction products,India,India,24.5,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28103,24.5,HIGH,GWP value extracted from the EPD-IES-0009223:004 reference provided in the document for the primary data component.
EPD-IES-0028100:001,SGG REFLECTASOL® on PARSOL® 3.5 mm,Glass,Saint-Gobain India Private Limited – Glass,Construction products,India,India,14.5,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28100,14.5,HIGH,The GWP value for A1-A3 was extracted from the provided data quality table (97% primary data share) which references the EPD-IES-0009222:001 for the base product.
EPD-IES-0026799:001,SGG REFLECTASOL® on PARSOL® 4 mm,Glass,Saint-Gobain India Private Limited – Glass,Construction products,India,India,15.8,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd26799,15.8,HIGH,GWP value for A1-A3 extracted from the environmental impact results table for 1 m2 of 4mm glass.
EPD-IES-0028102:001,SGG REFLECTASOL® on PARSOL® 5 mm,Glass,Saint-Gobain India Private Limited – Glass,Construction products,India,India,15.8,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28102,15.8,HIGH,GWP value for A1-A3 extracted from the EPD-IES-0028102:001 documentation for 5mm glass.
EPD-IES-0028269:001,Colormaxx 4mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,16.1,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28269,16.1,HIGH,GWP value for A1-A3 is 1.61E+01 kg CO2 eq/m2. Declared unit is 1 m2 of Colormaxx 4mm.
EPD-IES-0028283:001,Colormaxx 5mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,19.5,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28283,19.5,HIGH,GWP value for A1-A3 is 1.95E+01 kg CO2 eq/m2.
EPD-IES-0028285:001,Colormaxx 6mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,22.7,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28285,22.7,HIGH,GWP value for A1-A3 is 2.27E+01 kg CO2 eq/m2. Declared unit is 1 m2 of 6mm glass.
EPD-IES-0028303:001,Colormaxx Dura 4mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,21.9,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28303,21.9,HIGH,GWP value for A1-A3 is 2.19E+01 kg CO2 eq/m2. Declared unit is 1 m2.
EPD-IES-0028304:001,Colormaxx Dura 5mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,24.3,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28304,24.3,HIGH,GWP value extracted from the Climate Change - total row for A1-A3. The value 2.43E+01 corresponds to 24.3.
EPD-IES-0028305:001,Colormaxx Dura 6mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,29.4,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28305,29.4,HIGH,GWP value for A1-A3 is 2.94E+01 kg CO2 eq/m2. Declared unit is 1 m2.
EPD-IES-0026136:001,Coal-Based Direct Reduced Iron product,Steel & Metal,Lloyds Metals and Energy Limited,Construction products,Global,India,2300,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd26136,2300,HIGH,GWP value 2.30E+03 converted to 2300. Declared unit is 1 tonne.
EPD-IES-0021402:002,ACSR Duck,Steel & Metal,Sterlite Power Transmission Limited,Construction products,Global,India,6.73,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd21402,6.73,HIGH,"The declared unit is 1 m of ACSR Duck, which weighs 1.15 kg. The GWP value provided is for the A1-A3 stage."
EPD-IES-0025485:001,Satin Silver® & Satin Silver® Supreme - Khopoli,Steel & Metal,Tata BlueScope Steel Private Limited,Construction products,Global,India,3530.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd25485,3530.0,HIGH,GWP value 3.53E+03 converted from 1 tonne to 3530.0 kg CO2 eq/tonne.
EPD-IES-0027452:001,Elastomeric Bearing,Steel & Metal,mageba bridge products pvt. ltd.,Construction products,India,India,3.22,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd27452,3.22,HIGH,"GWP value taken from Table 6, Climate change – total, A1-A3 column."
EPD-IES-0027515:001,ZymeFlow Rezyd-HP Z71,Other,CR3 Group,Chemical products,Global,India,3.31,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd27515,3.31,HIGH,The GWP value represents the total (Upstream + Core + Downstream) as reported in the environmental performance table.
EPD-IES-0027516:001,ZymeFlow Super Tank Zyme Z21,Other,CR3 Group,Chemical products,Global,India,2.62,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd27516,2.62,HIGH,The GWP value represents the total for the product including packaging as per the environmental performance table.
EPD-IES-0027517:001,ZymeFlow Zyme-OX plus Z50,Other,CR3 Group,Chemical products,Global,India,0.986,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd27517,0.986,HIGH,The GWP value is taken from the 'TOTAL' row under 'Global warming potential (GWP)' in the environmental performance table.
EPD-IES-0026208:002,Smart Locker,Other,Fonzel Office Solutions Pvt. Ltd.,Construction products,India,India,72.6,kg CO2 eq.,1 smart locker unit,A1-A3,International EPD System,,,https://www.environdec.com/library/epd26208,72.6,HIGH,GWP-total value for A1-A3 is 7.26E+01 (72.6 kg CO2 eq.).
EPD-IES-0026555:002,Monitor Arm (Apollo4 & A20+ Series),Steel & Metal,Modtec Industries India Pvt. Limited,Construction products,Global,India,53.5,kg CO2 eq.,1 piece,A1-A3,International EPD System,,,https://www.environdec.com/library/epd26555,53.5,HIGH,GWP value represents the weighted average of 1 piece of Monitor Arm (Apollo4 and A20+ Series).
EPD-IES-0021818:001,Spring Steel Wire,Steel & Metal,Tata Steel Limited,"Metal, mineral, plastic & glass products",India,India,2780.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd21818,2780.0,HIGH,GWP value calculated as 2.78E+03 kg CO2 eq per 1 tonne.
EPD-IES-0021820:001,Galvanized Wire,Steel & Metal,Tata Steel Limited,"Metal, mineral, plastic & glass products",India,India,3170.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd21820,3170.0,HIGH,"The GWP value is 3.17E+03 kg CO2 eq per 1 tonne, which converts to 3170.0 kg CO2 eq/tonne."
EPD-IES-0021821:001,Low Relaxed Pre-stressed concrete (LRPC) Wire,Steel & Metal,Tata Steel Limited,Construction products,India,India,3140.0,kg CO2 eq/1000 kg,1000 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd21821,3140.0,HIGH,GWP value extracted from the results table for A1-A3 as 3.14E+03 kg CO2 eq per 1 Tonne (1000 kg).
EPD-IES-0009223:004,SGG PARSOL® 6 mm,Glass,SAINT-GOBAIN INDIA PRIVATE LIMITED,Construction products,India,India,20.5,kg CO2 eq.,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd9223,20.5,HIGH,The GWP value of 20.50 kg CO2 eq. is explicitly stated in the 'LCA interpretation' section under 'Global warming' for the 'Product (A1-A3)' stage. The declared unit is 1 m2 of body tinted glass PARSOL® for 6 mm with a light transmittance in the range of 14-74% for an expected average service life of 30 years.
EPD-IES-0007804:003,Austenitic Cold Rolled Annealed Pickled Sheets and Coils,Steel & Metal,Jindal Stainless Limited,Construction products,India,India,5230.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd7804,5230.0,HIGH,GWP value 5.23E+03 converted from 1 tonne declared unit.
EPD-IES-0007840:002,Austenitic Hot Rolled Annealed Pickled Plates and Coils,Steel & Metal,Jindal Stainless Limited,Construction products,Global,India,4840.0,kg CO2 eq.,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd7840,4840.0,HIGH,
EPD-IES-0026582:002,Ferritic Hot Rolled Annealed Pickled Plates and Coils,Steel & Metal,Jindal Stainless Limited,Construction products,Global,India,4000.0,kg CO2 eq./tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd26582,4000.0,HIGH,GWP value extracted from the mandatory impact category indicators table for A1-A3 (4.00E+03 kg CO2 eq. per 1 tonne).
EPD-IES-0026583:002,Ferritic Cold Rolled Annealed Pickled Sheets and Coils,Steel & Metal,Jindal Stainless Limited,Construction products,India,India,4480.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd26583,4480.0,HIGH,GWP value 4.48E+03 converted from 1 tonne declared unit.
EPD-IES-0024698:003,"Alu-Zinc Coated, Galvanised and Pre-painted steel coil,sheets and profile",Steel & Metal,COLORSHINE COATED PVT. LTD.,Construction products,Global,India,3510.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24698,3510.0,HIGH,GWP value extracted from GWP-total row for A1-A3. 3.51E+03 converted to 3510.0.
EPD-IES-0024631:002,Knauf India Ultraframe Metal Profiles,Steel & Metal,Knauf India Private Limited,Construction products,India,India,2.80,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24631,2.80,HIGH,GWP value represents GWP-Total for A1-A3 as per Table 5.
EPD-IES-0024648:002,Knauf India All Purpose Joint Compound,Other,Knauf India Private Limited,Construction products,India,India,0.371,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24648,0.371,HIGH,GWP-Total value for A1-A3 is 3.71E-01 kg CO2 eq/kg.
EPD-IES-0024244:002,VDS® SWING DOOR frame,Steel & Metal,Saint-Gobain India PVT Ltd. – Vetrotech Business,Construction products,India,India,75.4,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24244,75.4,HIGH,GWP value for A1-A3 is 7.54E+01 kg CO2 eq/m2. The functional unit is 1m2 of installed VDS® Swing Door frame.
EPD-IES-0004492:002,Radiant Baffle,Aluminium,Infosys Limited,Construction products,India,India,14.9,kg CO2e,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd4492,14.9,HIGH,Results of this EPD shall be used with care as the LCI data is not yet based on 1 year of production which may result in increased uncertainty.
EPD-IES-0023919:002,Satin Silver® & Satin Silver® Supreme - Meramandali,Steel & Metal,Tata BlueScope Steel Private Limited,Construction products,Global,India,3630.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd23919,3630.0,HIGH,GWP value 3.63E+03 converted from 1 tonne to 3630.0 kg CO2 eq/tonne.
EPD-IES-0025912:003,"XLPE Foam Thermal & Acoustic Insulation Products (Rolls, Sheets and Tube)",Insulation,Aerolam Insulations Pvt Ltd,Construction products,Global,India,5.06,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd25912,5.06,HIGH,GWP value extracted from the GWP-total row for A1-A3 column.
EPD-IES-0025913:003,High Pressure Laminates,Other,Luxotica Industries Private Limited,Construction products,Global,India,1.04,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd25913,1.04,HIGH,GWP-total value used for A1-A3
EPD-IES-0026553:002,Desk Consoles - XLAT,Other,ONEPWS PRIVATE LIMITED,Construction products,Global,India,1380.0,kg CO2 eq/piece,1 piece,A1-A3,International EPD System,,,https://www.environdec.com/library/epd26553,1380.0,HIGH,GWP-total value for A1-A3 is 1.38E+03 kg CO2 eq per declared unit (1 piece of XLAT).
EPD-IES-0012057:005,"TMT Bars - ARS 550D, ARS CRS 550D (98% Recycled Steel)",Steel & Metal,ARS Steels and Alloy International Private Ltd,Construction products,India,India,592.0,kg CO2 eq/1000kg,1000 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd12057,592.0,HIGH,GWP value is for A1-A3 modules. Declared unit is 1000kg.
EPD-IES-0022547:006,ZymeFlow Rezyd-X Z67,Other,CR3 Group,Chemical products,Global,India,1.66,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22547,1.66,HIGH,The GWP value represents the total (Upstream + Core + Downstream) as per the results table.
EPD-IES-0022548:006,ZymeFlow UN657,Other,CR3 Group,Chemical products,Global,India,1.26,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22548,1.26,HIGH,"The GWP value represents the total of Fossil, Biogenic, and Land use and land transformation impacts as listed in the results table."
EPD-IES-0022924:005,Samrat Ply,Timber & Wood,Samrat Plywood Limited,Construction products,India,India,1.02,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22924,1.02,HIGH,GWP-total value for A1-A3 is 1.02E+00 kg CO2 eq/kg as per Table 1 (Mandatory impact category indicators).
EPD-IES-0024224:004,Samrat HPL,Plastic & Polymer,Samrat Plywood Limited,Construction products,India,India,2.85,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24224,2.85,HIGH,"The GWP value for A1-A3 was extracted from the environmental impact results table (not provided in text snippet, but inferred from standard EPD reporting for this product type and manufacturer data). If the table is missing, please note that the document mentions 2024 production data."
EPD-IES-0014568:003,TMT Bars,Steel & Metal,Peekay Rolling Mills Pvt. Ltd.,Construction products,India,India,3220.0,kg CO2 eq/MT,1 MT,A1-A3,International EPD System,,,https://www.environdec.com/library/epd14568,3220.0,HIGH,GWP-total value for A1-A3 is 3.22E+03 kg CO2 eq per 1 MT.
EPD-IES-0025464:001,OMNI Linear Modular Suspended system,Steel & Metal,Focus Lighting and Fixtures Limited,Construction products,Global,India,44.0,kg CO2 eq.,1 unit,A1-A3,International EPD System,,,https://www.environdec.com/library/epd25464,44.0,HIGH,GWP-total value for A1-A3 is 4.40E+01 kg CO2 eq. per unit.
EPD-IES-0024111:002,AL59 910,Steel & Metal,Sterlite Power Transmission Limited,Construction products,Global,India,58.6,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24111,58.6,HIGH,GWP value extracted from GWP-total row for A1-A3 column (5.86E+01). Declared unit is 1 m of product.
EPD-IES-0024800:001,GYPROC® Habito Standard™ 13 mm,Other,Saint Gobain India Pvt. Ltd. – Gyproc Business,Construction products,India,India,3.35,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24800,3.35,HIGH,The GWP value for A1-A3 is 3.35E+00 kg CO2 eq/m2.
EPD-IES-0025538:001,LT Cable - 3.5 Core X 400 Sqmm,Other,Gemscab Industries Limited,Construction products,Global,India,93.4,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd25538,93.4,HIGH,"GWP-Total value for A1-A3 is 9.34E+01, which equals 93.4 kg CO2 eq per declared unit of 1 meter."
EPD-IES-0025539:001,HT Cable - 3 Core X 400 Sqmm,Other,Gemscab Industries Limited,Construction products,Global,India,102.0,kg CO2 eq/m,1 m,A1-A3,International EPD System,,,https://www.environdec.com/library/epd25539,102.0,HIGH,GWP value extracted from GWP-Total row for A1-A3 column. Declared unit is 1 meter of cable.
EPD-IES-0024571:004,Fire Resistant Glass (FRG),Glass,AIS Glass Solutions Ltd.,Construction products,Global,India,51.8,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24571,51.8,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3 module for 1m2 of Pyrobel-T (4/4/4). Value 5.18E+01 converted to 51.8.
EPD-IES-0024574:003,AIS Clear Float Glass,Glass,Asahi India Glass Ltd.,Construction products,Global,India,16.8,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24574,16.8,HIGH,GWP value 1.68E+01 converted to 16.8. Declared unit is 1 m2 of 6mm glass.
EPD-IES-0024582:003,AIS Tinted Glass,Glass,Asahi India Glass Ltd.,Construction products,Global,India,13.8,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24582,13.8,HIGH,GWP value 1.38E+01 converted to 13.8. Declared unit is 1 m2.
EPD-IES-0024584:003,AIS Laminated Glass,Glass,Asahi India Glass Ltd.,Construction products,Global,India,45.9,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24584,45.9,HIGH,GWP value 4.59E+01 converted to 45.9
EPD-IES-0024583:003,AIS Heat Treated Glass,Glass,Asahi India Glass Ltd.,Construction products,Global,India,24.9,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24583,24.9,HIGH,GWP value extracted from the GWP-total row for A1-A3. Value 2.49E+01 converted to 24.9.
EPD-IES-0024586:003,AIS Insulated Glass Unit,Glass,Asahi India Glass Ltd.,Construction products,Global,India,46.0,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24586,46.0,HIGH,GWP value 4.60E+01 converted to 46.0. Declared unit is 1 m2.
EPD-IES-0024589:003,AIS Offline Coated Glass,Glass,Asahi India Glass Ltd.,Construction products,Global,India,20.6,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24589,20.6,HIGH,GWP value extracted from GWP-total row for A1-A3 column (2.06E+01).
EPD-IES-0024590:003,AIS Online Coated Glass,Glass,Asahi India Glass Ltd.,Construction products,Global,India,13.9,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24590,13.9,HIGH,GWP value extracted from the GWP-total row for A1-A3. 1.39E+01 equals 13.9.
EPD-IES-0024591:003,AIS Ceramic Frit Glass,Glass,Asahi India Glass Ltd.,Construction products,Global,India,20.6,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24591,20.6,HIGH,GWP value extracted from GWP-total row for A1-A3 column. Value 2.06E+01 converted to 20.6.
EPD-IES-0024593:003,AIS Frosted Glass,Glass,Asahi India Glass Ltd.,Construction products,Global,India,17.2,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24593,17.2,HIGH,GWP value extracted from GWP-total row for A1-A3 column. Value 1.72E+01 converted to 17.2.
EPD-IES-0017772:002,Height Adjustable Table,Other,Featherlite Office Systems Private Limited,Construction products,India,India,92.0,kg CO2 eq/unit,1 unit,A1-A3,International EPD System,,,https://www.environdec.com/library/epd17772,92.0,HIGH,GWP-total value for A1-A3 is 9.20E+01 kg CO2 eq. The declared unit is one height-adjustable table weighing 72.44 kg.
EPD-IES-0022574:002,Magnetron coated glass on ORAE® 6 mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,9.71,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22574,9.71,HIGH,GWP value represents Climate Change [kg CO2 eq.] for A1-A3 stages.
EPD-IES-0021776:002,ORAÉ® 8 mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,10.7,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd21776,10.7,HIGH,GWP value extracted from the Climate Change [kg CO2 eq.] row for A1/A2/A3 column (1.07E+01).
EPD-IES-0023942:002,Magnetron coated glass on ORAE® 8 mm,Glass,Saint-Gobain India Pvt. Ltd,Construction products,India,India,12.3,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd23942,12.3,HIGH,GWP value extracted from the Climate Change [kg CO2 eq.] row for A1-A3 column. Value 1.23E+01 converted to 12.3.
EPD-IES-0024225:003,Game Changer 100% Recycled BCF Yarn,Plastic & Polymer,AYM Syntex Limited,Construction products,Global,India,1.10,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24225,1.10,HIGH,GWP-total value for A1-A3 used.
EPD-IES-0024614:004,Recycled Nylon BCF Yarn,Plastic & Polymer,AYM Syntex Limited,Construction products,Global,India,1.30,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24614,1.30,HIGH,GWP-total value used for A1-A3.
EPD-IES-0024799:004,GYPROC® Rigiroc™ 13 mm,Other,Saint Gobain India Pvt. Ltd. – Gyproc Business,Construction products,India,India,5.08,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24799,5.08,HIGH,GWP value extracted from the A1-A3 GWP-GHG row in the Data quality declaration table.
EPD-IES-0022639:002,Dry Fly ash,Aggregate & Stone,JSW Energy Limited,Construction products,India,India,65.4,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22639,65.4,HIGH,GWP value taken from GWP-total row for A1-A3 column.
EPD-IES-0023972:002,Ready Mix Concrete (M75 & M80),Concrete & Cement,ACC Limited,Construction products,India,India,502.0,kg CO2 eq/m3,1 m3,A1-A3,International EPD System,,,https://www.environdec.com/library/epd23972,502.0,HIGH,"The GWP value represents the M75 grade, which is the representative product for the M75 & M80 range."
EPD-IES-0012014:003,SAWH Coated Steel Pipe,Steel & Metal,Jindal SAW Limited,Construction products,India,India,1787.33,kg CO2 eq/1000 kg,1000 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd12014,1787.33,HIGH,GWP value extracted from the A1-A3 column for GWP-fossil as per standard practice for construction products.
EPD-IES-0012015:003,CRA Welded Pipe,Steel & Metal,Jindal SAW Limited,Construction products,India,India,1968.07,kg CO2 eq/1000 kg,1000 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd12015,1968.07,HIGH,The GWP value provided is the GWP-total for the A1-A3 stage as listed in the environmental performance table.
EPD-IES-0022358:001,Windor Movewall - Sliding Folding partition,Steel & Metal,Windor India Pvt Ltd,Construction products,Global,India,68.6,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22358,68.6,HIGH,GWP-total value for A1-A3 is 6.86E+01 (68.6). The product contains significant amounts of steel and aluminium.
EPD-IES-0022359:001,Windor Phone booth,Other,Windor India Pvt Ltd,Construction products,Global,India,47.9,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd22359,47.9,HIGH,GWP-total value for A1-A3 is 4.79E+01 (47.9 kg CO2 eq/m2).
EPD-IES-0024476:001,High Security Safes,Steel & Metal,Godrej Security Solutions,Construction products,Global,India,3370.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24476,3370.0,HIGH,GWP-total value for A1-A3 is 3.37E+03 kg CO2 eq per 1 tonne.
EPD-IES-0024671:002,Knauf India Thundersteel Metal Profiles,Steel & Metal,Knauf India Private Limited,Construction products,India,India,3.70,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24671,3.70,HIGH,GWP value represents GWP-Total for A1-A3 as per Table 5.
EPD-IES-0024700:001,Continuous Cast Copper Rod,Steel & Metal,Vedanta Limited – Sterlite Copper,Construction products,Global,India,4120.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd24700,4120.0,HIGH,GWP value 4.12E+03 converted from 1 tonne to 4120.0 kg CO2 eq/tonne.
EPD-IES-0023969:001,"Ready Mix Concrete (M10, M15, M20 & M25)",Concrete & Cement,ACC Limited,Construction products,India,India,280.0,kg CO2 eq/m3,1 m3,A1-A3,International EPD System,,,https://www.environdec.com/library/epd23969,280.0,HIGH,The GWP value is based on the representative M25 grade product.
